season,year,shocks,effective_use_rate,mean_wait_days,backlog_mu,mean_loss_fraction,avoided_loss_fraction,mitigation_rate,mean_income,income_p10,gini_income,exit_rate,fiscal_spend,fiscal_cumulative,equity_gap,mountain_gap,capacity_units,reliability,trust,capable_share,recovery_seasons_mean,adopt_T1,adopt_T2,adopt_T3,service_T1,service_T2,service_T3,effort_T1,effort_T2,effort_T3,contract_linear,contract_concave,contract_convex,contract_self,contract_infeasible,scenario,rep
3,1.5,,0.1111111111111111,1.0002202229430308,0.0,0.0,0.0,0.0,10035.137190916632,2959.216457573954,0.4081110587627844,0.0,1882.5573280110616,5454.724412550693,0.0,0.0,52.83473309631166,0.8787647999999999,0.5472141203703703,0.16821333333333335,1.0833333333333333,0.2345679012345679,0.0,0.1728395061728395,0.2345679012345679,0.0,0.1728395061728395,0.5763877355366397,0.0,0.6095465199567627,1,3,29,0,0,voucher_plus_capacity,1
4,2.0,D2,0.16049382716049382,1.0003005632905047,0.0,0.03027934022575223,0.0008815465608067038,0.028290162819979616,10555.164697311066,2820.3006463183833,0.44011695189465033,0.0,1552.3467864521433,7007.071199002837,0.0013956081745775974,0.0013566338074282437,68.66099644149608,0.8733130239999999,0.5448534143518518,0.15540434567901237,1.0769230769230769,0.19753086419753085,0.012345679012345678,0.14814814814814814,0.19753086419753085,0.0,0.14814814814814814,0.6114812600166999,0.25,0.598139947652467,0,4,24,1,0,voucher_plus_capacity,1
1,0.5,,0.16049382716049382,3.252937746678935,0.0,0.0,0.0,0.0,13139.862672239056,2986.805585542871,0.5037922431804086,0.0,0.0,0.0,0.0,0.0,0.2101759260828672,0.892,0.5475000000000001,0.3330123456790123,,0.2962962962962963,0.0,0.12345679012345678,0.2962962962962963,0.0,0.12345679012345678,0.5641650910368223,0.0,0.6719414931403752,0,8,26,0,0,training_maintenance,0
2,1.0,D2,0.13580246913580246,5.248392090940749,60.29771058827108,0.3060506705463936,0.008615951835789021,0.027381206721456462,7295.081637309527,1430.0732486348188,0.46301907943789194,0.0,0.0,0.0,0.022044388722678783,0.013907440567155526,0.19966712977872383,0.88496,0.5130262345679013,0.4397567901234567,1.0,0.16049382716049382,0.0,0.12345679012345678,0.16049382716049382,0.0,0.12345679012345678,0.6797911163738635,0.0,0.6251028379472894,0,11,11,0,0,training_maintenance,0
3,1.5,,0.20987654320987653,13.38543014034466,206.65459969359276,0.0,0.0,0.0,13091.026408905413,3173.2337451459534,0.4611564342205908,0.0,0.0,0.0,0.0,0.0,0.18968377328978764,0.8787647999999999,0.5092885030864198,0.5430158641975307,1.4210526315789473,0.19753086419753085,0.012345679012345678,0.2222222222222222,0.19753086419753085,0.012345679012345678,0.2222222222222222,0.777135912786179,0.7757881113593152,0.617971720466842,0,17,13,0,0,training_maintenance,0
4,2.0,D3,0.12345679012345678,4.587369469354296,58.58131815365155,0.2798678974606499,0.0013483412597602642,0.0047946778105542025,8692.930732473851,1158.2114368785235,0.5386559005064948,0.0,0.0,0.0,0.0025365294194105276,0.0021124610005954668,0.18019958462529825,0.7193624268736712,0.47870062114197537,0.6389514907407405,1.4210526315789473,0.18518518518518517,0.012345679012345678,0.16049382716049382,0.18518518518518517,0.012345679012345678,0.16049382716049382,0.44135976442755903,0.0,0.7186984042617817,0,5,22,0,0,training_maintenance,0
1,0.5,D2,0.12345679012345678,2.8624719091001785,0.0,0.06508977588480645,0.002523910678689245,0.037328399129946156,9949.34881617316,2672.504289796235,0.44946990431159933,0.0,0.0,0.0,0.004317895374449318,0.004915725099788101,0.1714826551929818,0.892,0.5530555555555556,0.3320864197530864,,0.18518518518518517,0.0,0.1111111111111111,0.18518518518518517,0.0,0.1111111111111111,0.7060816794801799,0.0,0.5945699848050474,0,7,17,0,0,training_maintenance,1
2,1.0,,0.1728395061728395,13.510115326719996,113.50051516444069,0.0,0.0,0.0,11127.58059696869,2793.4217281280635,0.4447350823745916,0.0,0.0,0.0,0.0,0.0,0.1629085224333327,0.88496,0.548550925925926,0.4398030864197531,1.0,0.2345679012345679,0.0,0.12345679012345678,0.2345679012345679,0.0,0.12345679012345678,0.8281875194640012,0.0,0.5120722842492526,2,8,16,0,0,training_maintenance,1
3,1.5,,0.1728395061728395,5.114045129127458,26.059106072718137,0.0,0.0,0.0,10025.429722510527,2959.216457573954,0.4081770157703669,0.0,0.0,0.0,0.0,0.0,0.15476309631166607,0.8787647999999999,0.5455060956790124,0.5421339197530864,1.0833333333333333,0.25925925925925924,0.0,0.09876543209876543,0.25925925925925924,0.0,0.09876543209876543,0.7434075697384449,0.0,0.6067381091888973,1,9,18,0,0,training_maintenance,1
4,2.0,D2,0.19753086419753085,5.6818736227621285,26.059106072718137,0.029980137743307187,0.0011807490432517503,0.03789202314232788,10568.190595748294,2820.3006463183833,0.4406710191482692,0.0,0.0,0.0,0.0025310319964385506,0.0023072053383229275,0.14702494149608275,0.8733130239999999,0.5429838773148149,0.6399654953703704,1.0769230769230769,0.2716049382716049,0.0,0.13580246913580246,0.2716049382716049,0.0,0.13580246913580246,0.8285374083389883,0.0,0.6120506233665863,1,15,16,0,0,training_maintenance,1
1,0.5,,0.16049382716049382,4.881977379769719,18.223586421250033,0.0,0.0,0.0,13144.879463695288,2986.805585542871,0.5038334641257219,0.0,0.0,0.0,0.0,0.0,0.2101759260828672,0.892,0.5468827160493828,0.20201234567901236,,0.2716049382716049,0.0,0.1111111111111111,0.2716049382716049,0.0,0.1111111111111111,0.604220223148003,0.0,0.7179742470741469,0,8,22,0,0,warning_response,0
2,1.0,D2,0.06172839506172839,15.377722344063477,130.9809900207388,0.3103384906711632,0.0043281317110193665,0.013754657797046476,7230.405590246395,1430.0732486348188,0.44606908596882766,0.0,0.0,0.0,0.009532719543741727,0.006852800856187928,0.19966712977872383,0.88496,0.5051558641975309,0.18335432098765433,1.0,0.13580246913580246,0.0,0.07407407407407407,0.13580246913580246,0.0,0.07407407407407407,0.5747853375329369,0.0,0.7119342748905617,1,6,7,0,0,warning_response,0
3,1.5,,0.1111111111111111,13.548735799081213,90.62131634468508,0.0,0.0,0.0,13125.492377751414,3173.2337451459534,0.4614637829075095,0.0,0.0,0.0,0.0,0.0,0.18968377328978764,0.8787647999999999,0.5036635030864198,0.16779666666666668,1.4210526315789473,0.1728395061728395,0.012345679012345678,0.07407407407407407,0.1728395061728395,0.012345679012345678,0.07407407407407407,0.7442027280622351,0.0,0.5931391273639232,0,12,7,0,0,warning_response,0
4,2.0,D3,0.09876543209876543,4.294951943583216,18.350161024008486,0.28068550876629605,0.0005307299541141423,0.0018872663845056355,8687.897287443626,1158.2114368785235,0.5384583608867538,0.0,0.0,0.0,0.001235755255564675,0.0007013746045096804,0.18019958462529825,0.7193624268736712,0.4699000810185186,0.15348613580246914,1.4210526315789473,0.1728395061728395,0.0,0.06172839506172839,0.1728395061728395,0.0,0.06172839506172839,0.7058522631234132,0.0,0.7957773061123797,0,11,7,0,0,warning_response,0
1,0.5,D2,0.1111111111111111,4.312920698561865,21.558564277281153,0.06541988778064127,0.002193798782854417,0.03244607555593395,9947.508054369182,2672.504289796235,0.44948261059815897,0.0,0.0,0.0,0.00396087352821352,0.004106928049084628,0.1714826551929818,0.892,0.552067901234568,0.20077777777777778,,0.18518518518518517,0.0,0.09876543209876543,0.18518518518518517,0.0,0.09876543209876543,0.7722828870320717,0.0,0.612915581053857,2,8,12,0,0,warning_response,1
2,1.0,,0.13580246913580246,6.860936998984047,40.25669963177646,0.0,0.0,0.0,11136.8893625081,2793.4217281280635,0.4450814934549093,0.0,0.0,0.0,0.0,0.0,0.1629085224333327,0.88496,0.5482299382716049,0.18409506172839507,1.0,0.19753086419753085,0.0,0.08641975308641975,0.19753086419753085,0.0,0.08641975308641975,0.848560452744093,0.0,0.45644238694778255,2,8,11,0,0,warning_response,1
3,1.5,,0.12345679012345678,12.175706335597743,103.55832075897955,0.0,0.0,0.0,10008.982454078432,2959.216457573954,0.40760688086800306,0.0,0.0,0.0,0.0,0.0,0.15476309631166607,0.8787647999999999,0.5439665895061728,0.168771975308642,1.0833333333333333,0.1728395061728395,0.012345679012345678,0.12345679012345678,0.1728395061728395,0.012345679012345678,0.12345679012345678,0.7840271754551065,0.6873206284426889,0.6481081396713845,1,7,14,0,0,warning_response,1
