rep,seed,scenario,mitigation_rate,effective_use_rate,mean_wait_days,income_p10,equity_gap,mountain_gap,fiscal_cumulative
1,81002,warning_response,0.03171091525649535,0.07666666666666666,10.754100309939593,2333.9339710028767,0.0015908406175675494,0.0010994126793078941,0.0
1,81002,insurance,0.034890530747248565,0.09833333333333334,7.56896808337569,2344.058767226434,0.001399785843382216,0.0010370422277617985,427518.8503880367
1,81002,mountain_equity,0.032874245683722284,0.08,8.6715537167253,2333.9339710028767,0.0013568133778960872,0.0009654564809584977,0.0
1,81002,integrated,0.0409941054978914,0.14833333333333334,1.5686857045652218,2333.9339710028767,0.0017457975137855864,0.0014287085244107072,7699.53123425071
2,81003,baseline,0.026969560978689133,0.061666666666666675,10.162256084858397,3295.701738002035,0.00018144282131332158,0.0002532148286993384,0.0
2,81003,subsidy,0.0319096690988644,0.06833333333333334,6.9456240636913265,3295.5704669589154,0.0002515574343178917,0.00019976089202010763,33998.42823139802
2,81003,voucher,0.033749656702933374,0.085,10.080677920877008,3295.701738002035,0.0003530075770716965,0.000259744746247771,11037.520283052674
2,81003,voucher_plus_capacity,0.03130692913638241,0.10166666666666667,1.467039734417762,3295.701738002035,0.00028201044701519273,0.0002907576623737876,12567.611048306817
2,81003,training_maintenance,0.026623829489230717,0.09166666666666667,4.6401240039059894,3295.701738002035,0.00024460015745731735,0.00019168601120525148,0.0
2,81003,warning_response,0.017001045656481115,0.03666666666666667,12.436564472191039,3295.701738002035,0.00013271233241623448,7.754345612302623e-05,0.0
2,81003,insurance,0.026969560978689133,0.061666666666666675,10.162256084858397,3196.4761233055942,0.00018144282131332158,0.0002532148286993384,447013.96486878564
2,81003,mountain_equity,0.023671149291527593,0.08166666666666667,7.880488191818126,3295.549925956441,0.00023394670200745107,0.00016354779912623147,0.0
2,81003,integrated,0.03681486670550099,0.12000000000000001,1.7642893842444431,3295.701738002035,0.00033606520547140847,0.000333673235144932,9307.487342098917
3,81004,baseline,0.012269344506950157,0.13166666666666668,8.935269783145777,2943.3185070100694,0.0007153766281430409,0.0006549908241639014,0.0
3,81004,subsidy,0.010091099422751288,0.09333333333333332,6.068023078232951,2943.3966450415064,0.00046828890473073664,0.00048462465842848574,20648.877622069405
3,81004,voucher,0.018913369769635268,0.14333333333333334,7.946130944524171,2943.3966450415064,0.0011044709822451554,0.0008110168512145627,11043.659113288939
3,81004,voucher_plus_capacity,0.020495831403156414,0.125,3.194078001425618,2940.3112273265247,0.0012036772853556458,0.000931821527748579,12216.056981573927
3,81004,training_maintenance,0.01218248613576818,0.13166666666666668,6.783187344390998,2943.3966450415064,0.0007116005911099605,0.0005604792264525361,0.0
3,81004,warning_response,0.010257842466140515,0.09500000000000001,8.211277589757517,2943.3966450415064,0.0008157620947320036,0.0004812895896333978,0.0
3,81004,insurance,0.012269344506950157,0.13166666666666668,8.935269783145777,2860.4630295940187,0.0007153766281430409,0.0006549908241639014,394468.56488256063
3,81004,mountain_equity,0.013993716244972509,0.12666666666666668,7.726040810507134,2943.2151509689043,0.0006538625851802022,0.0005957205995761937,0.0
3,81004,integrated,0.013682941618457832,0.14666666666666667,2.7966182194712133,2943.3966450415064,0.0006703410040619973,0.0005152290527458771,7862.272686357552
4,81005,baseline,0.02597577561894031,0.12333333333333331,9.04268379214773,2559.8996107987746,0.00031978315797844627,0.0002015312822284701,0.0
4,81005,subsidy,0.030425997781626555,0.11666666666666668,7.675470422015553,2559.8996107987746,0.00032198953589698966,0.0001971866523788959,17755.398236622677
4,81005,voucher,0.033951294371181294,0.165,11.072471724119026,2559.8996107987746,0.0002879308074850414,0.00020672691225657073,9978.051937191654
4,81005,voucher_plus_capacity,0.03868775622708994,0.15666666666666668,3.0244118671004165,2559.8996107987746,0.0002938135986441877,0.00020979099070980823,11238.16685210141
