scenario,metric,n,mean,sd,p05,median,p95
subsidy,income_p10,8,2504.5152466630307,422.1708623556296,2075.135853086806,2376.091989719934,3172.309629287822
subsidy,equity_gap,8,0.0017544312149134463,0.0025262736493095084,3.0132753095329332e-05,0.00039513922031386315,0.005920606034247005
subsidy,mountain_gap,8,0.0012909660057415894,0.0019364611221134235,2.7077494898821446e-05,0.0003421927752242967,0.004416088733773878
subsidy,fiscal_cumulative,8,27345.85829033782,12154.333502276957,15910.828133533825,21604.25890164812,45754.399622634424
training_maintenance,mitigation_rate,8,0.023327099518016738,0.009271015749638045,0.011433724673127863,0.02578903449413191,0.034483919583511005
training_maintenance,effective_use_rate,8,0.12833333333333335,0.02849394254757951,0.09341666666666668,0.1275,0.16483333333333333
training_maintenance,mean_wait_days,8,7.833270078114397,1.794229713814279,5.390196173075743,7.9858151305487155,9.810315355010157
training_maintenance,income_p10,8,2504.188036194025,422.28736667516523,2075.135853086806,2374.7175123223524,3172.3949554658498
training_maintenance,equity_gap,8,0.001577083761523454,0.002125909007204656,2.8418894419976408e-05,0.0005168152966701043,0.004893205524001844
training_maintenance,mountain_gap,8,0.0011590079947652323,0.0016879942290074824,2.4492506823889943e-05,0.0003818574310130958,0.0038445886694782423
training_maintenance,fiscal_cumulative,8,0.0,0.0,0.0,0.0,0.0
voucher,mitigation_rate,8,0.029621194029605204,0.012464337588855295,0.018387051129725912,0.0269335202094704,0.047687748875960494
voucher,effective_use_rate,8,0.13166666666666668,0.02969420872402617,0.09025,0.14333333333333334,0.16441666666666668
voucher,mean_wait_days,8,9.57354493939468,1.7518979642269807,7.365390461732055,9.415715374440037,11.661482389612953
voucher,income_p10,8,2504.305745598394,422.2592446103073,2075.135853086806,2375.188349939829,3172.3949554658498
voucher,equity_gap,8,0.0020996011967723167,0.0032092367335723013,3.3989830004903765e-05,0.0007287392796584259,0.007206104900565146
voucher,mountain_gap,8,0.0016915407522177764,0.0024705987893523006,3.100563966939311e-05,0.0005353807987311668,0.005726511288258122
voucher,fiscal_cumulative,8,9927.59976155426,864.3844673211365,8934.910622661975,9695.437199076103,11041.510522706247
voucher_plus_capacity,mitigation_rate,8,0.03359542744083074,0.01174055874164229,0.021151606382454786,0.03050949161885763,0.050905025452275585
voucher_plus_capacity,effective_use_rate,8,0.16562500000000002,0.04237902951764166,0.10983333333333334,0.16083333333333333,0.21375
voucher_plus_capacity,mean_wait_days,8,2.086252631992056,0.7083629080738156,1.4390059144131795,1.8196116047382758,3.1346948544117974
voucher_plus_capacity,income_p10,8,2504.018948827369,421.75661134294415,2075.135853086806,2375.583871713221,3171.315059265606
voucher_plus_capacity,equity_gap,8,0.0019916100957055416,0.0030714537782950265,5.399506138373076e-05,0.0007487454419999168,0.0070548112211026495
voucher_plus_capacity,mountain_gap,8,0.0017099587996603283,0.0025170896648741767,4.277733139916252e-05,0.0006112895950611833,0.00590320981698709
voucher_plus_capacity,fiscal_cumulative,8,12075.168411778335,913.1804807516814,10951.580751713835,12229.739903584174,13259.842191462438
warning_response,mitigation_rate,8,0.019336972419421422,0.008925483646978385,0.010491243891530342,0.01595888612875209,0.031458085103826694
warning_response,effective_use_rate,8,0.08833333333333333,0.03007926037591192,0.043083333333333335,0.09500000000000001,0.11775
warning_response,mean_wait_days,8,9.970393969396474,2.011418619227446,7.022041036493902,10.284134154300993,12.216532831945987
warning_response,income_p10,8,2504.305745598394,422.2592446103073,2075.135853086806,2375.188349939829,3172.3949554658498
warning_response,equity_gap,8,0.0014997934077615074,0.0023677506120605555,2.2083310550733548e-05,0.0005654384554375082,0.005299778693750907
warning_response,mountain_gap,8,0.0012197644520880644,0.0020838329945885733,1.86170599271339e-05,0.0003404185097842863,0.004598105153957671
warning_response,fiscal_cumulative,8,0.0,0.0,0.0,0.0,0.0
