year,dry_spell_days,julaug_precip_mm,hot_days,rainstorm_days,heavy_rainstorm_days,max_1day_mm,max_3day_mm,county
1995,7,421.59999999999997,2,1,0,97.8,153.3,C5
1996,6,577.5,0,1,1,103.7,135.2,C5
1997,10,253.2,13,1,0,50.2,66.3,C5
1998,3,771.9000000000002,0,3,0,80.3,120.39999999999999,C5
1999,6,553.4,0,2,0,82.2,176.8,C5
2000,5,650.8999999999999,2,5,0,76.2,140.6,C5
2001,18,276.2,3,0,0,45.6,62.400000000000006,C5
2002,7,296.1,3,1,0,67.1,92.3,C5
2003,5,436.9000000000001,2,1,0,68.0,95.8,C5
2004,7,292.3,2,0,0,47.3,73.6,C5
2005,4,623.3999999999999,0,2,0,74.0,122.9,C5
2006,14,140.7,31,0,0,39.0,64.60000000000001,C5
2007,6,521.6,1,3,0,75.7,157.7,C5
2008,8,325.40000000000003,0,2,0,63.4,66.3,C5
2009,8,357.9,1,3,0,65.2,99.1,C5
2010,8,434.5,8,1,0,58.8,121.89999999999999,C5
2011,9,221.20000000000002,17,2,0,61.5,84.19999999999999,C5
2012,8,435.00000000000006,3,5,0,75.4,135.3,C5
2013,6,232.0,21,1,0,50.1,76.1,C5
2014,8,241.99999999999997,10,0,0,47.0,98.0,C5
2015,9,406.3,0,3,1,149.3,224.60000000000002,C5
2016,10,254.7,8,2,0,64.1,112.9,C5
2017,8,323.1,16,2,1,102.3,115.1,C5
2018,9,206.60000000000002,15,0,0,43.3,57.099999999999994,C5
2019,17,353.3,11,2,0,59.7,116.5,C5
2020,7,440.99999999999994,2,1,0,73.1,81.3,C5
2021,11,518.6999999999999,7,1,0,69.3,99.1,C5
2022,21,165.70000000000002,43,1,0,86.6,127.1,C5
2023,8,471.4,6,3,0,84.0,120.20000000000002,C5
2024,10,403.5,20,0,0,44.9,115.5,C5
1991,2,522.2,0,1,0,52.1,75.19999999999999,C6
1992,8,340.20000000000005,0,0,0,25.5,52.2,C6
1993,4,451.29999999999995,0,0,0,31.2,61.0,C6
1994,5,375.80000000000007,0,0,0,40.8,55.4,C6
1995,4,380.3,0,0,0,27.0,47.0,C6
1996,7,460.1,0,1,0,51.7,84.3,C6
1997,6,517.2,0,1,0,59.6,86.80000000000001,C6
1998,3,637.5999999999999,0,1,0,63.2,79.70000000000002,C6
1999,2,517.9,0,0,0,32.3,65.0,C6
2000,2,489.00000000000006,0,0,0,37.2,63.3,C6
2001,4,388.6,0,0,0,38.8,67.3,C6
2002,3,532.8,0,1,0,52.3,74.3,C6
2003,7,261.0,0,0,0,37.0,64.6,C6
2004,5,387.70000000000005,0,0,0,40.2,77.4,C6
2005,4,512.3999999999999,0,0,0,39.2,65.69999999999999,C6
2006,10,306.80000000000007,0,0,0,47.7,56.7,C6
2007,4,457.3,0,0,0,43.9,59.199999999999996,C6
2008,4,507.7,0,1,0,65.6,81.6,C6
