file,key,path,read_by_code,value
model_params.yaml,degradation_rate,sd.stocks.infrastructure_reliability.degradation_rate,True,0.04
model_params.yaml,depreciation_rate,sd.stocks.service_capacity.depreciation_rate,True,0.1
model_params.yaml,digital_literacy,risk_attitude.farmer.covariates.digital_literacy,True,-0.04
model_params.yaml,education_years,risk_attitude.farmer.covariates.education_years,True,-0.012
model_params.yaml,effort_max,contract.effort_max,True,1.0
model_params.yaml,exit_probability_when_triggered,behaviour.exit_rule.exit_probability_when_triggered,True,0.35
model_params.yaml,exit_rule,behaviour.exit_rule,True,
model_params.yaml,farmer,risk_attitude.farmer,True,
model_params.yaml,followup_support,scenarios.instruments.P4.followup_support,True,True
model_params.yaml,frictions,behaviour.frictions,True,
model_params.yaml,gain_on_success,behaviour.trust.gain_on_success,True,0.06
model_params.yaml,gain_per_delivered_outcome,sd.stocks.institutional_trust.gain_per_delivered_outcome,True,0.03
model_params.yaml,gamma_farmer_selfuse,contract.gamma_farmer_selfuse,True,0.22
model_params.yaml,gamma_provider,contract.gamma_provider,True,0.12
model_params.yaml,government,risk_attitude.government,True,
model_params.yaml,government_budget,sd.stocks.government_budget,True,
model_params.yaml,growth_rate,sd.stocks.government_budget.growth_rate,True,0.04
model_params.yaml,harvest,loss.stage_vulnerability.harvest,True,0.5
model_params.yaml,hill,risk_attitude.farmer.prior_loss_proxy.terrain_weight.hill,True,1.0
model_params.yaml,id,population.counties.id,True,C1
model_params.yaml,infrastructure_reliability,sd.stocks.infrastructure_reliability,True,
model_params.yaml,initial,behaviour.trust.initial,True,0.55
model_params.yaml,initial_capacity_coverage,sd.stocks.service_capacity.initial_capacity_coverage,True,0.55
model_params.yaml,initial_share,sd.stocks.capable_farmers.initial_share,True,0.22
model_params.yaml,initial_units,sd.stocks.service_capacity.initial_units,True,90
model_params.yaml,input_cost_per_mu,production.input_cost_per_mu,True,380.0
model_params.yaml,institutional_trust,sd.stocks.institutional_trust,True,
model_params.yaml,instruments,scenarios.instruments,True,
model_params.yaml,irrigation_share,population.counties.irrigation_share,True,0.85
model_params.yaml,k,behaviour.peer_network.k,True,6
model_params.yaml,key,scenarios.key,True,baseline
model_params.yaml,label,scenarios.label,True,No new policy
model_params.yaml,lead_time_gain_days,scenarios.instruments.P5.lead_time_gain_days,True,1.0
model_params.yaml,learning_by_doing_gain,sd.stocks.capable_farmers.learning_by_doing_gain,True,0.05
model_params.yaml,learning_decay,behaviour.frictions.learning_decay,True,1.0
model_params.yaml,learning_rate_hazard,behaviour.belief_update.learning_rate_hazard,True,0.15
model_params.yaml,learning_rate_own,behaviour.belief_update.learning_rate_own,True,0.35
model_params.yaml,learning_rate_peer,behaviour.belief_update.learning_rate_peer,True,0.12
model_params.yaml,learning_scale,behaviour.frictions.learning_scale,True,900.0
model_params.yaml,light_equipment_share,scenarios.instruments.P7.light_equipment_share,True,0.4
model_params.yaml,liquidity_ratio,risk_attitude.farmer.covariates.liquidity_ratio,True,-0.1
model_params.yaml,log_area_mu,risk_attitude.farmer.covariates.log_area_mu,True,-0.055
model_params.yaml,loss,loss,True,
model_params.yaml,loss_on_false_alarm,behaviour.trust.loss_on_false_alarm,True,0.09
model_params.yaml,loss_on_payment_delay,behaviour.trust.loss_on_payment_delay,True,0.05
model_params.yaml,loss_on_service_failure,behaviour.trust.loss_on_service_failure,True,0.12
model_params.yaml,loss_per_failure,sd.stocks.institutional_trust.loss_per_failure,True,0.05
model_params.yaml,maintenance_rate,sd.stocks.infrastructure_reliability.maintenance_rate,True,0.06
model_params.yaml,max_total_mitigation,loss.max_total_mitigation,True,0.65
model_params.yaml,mean_area_mu,population.counties.mean_area_mu,True,22.0
model_params.yaml,mountain,risk_attitude.farmer.prior_loss_proxy.terrain_weight.mountain,True,1.25
model_params.yaml,n_cooperatives,population.n_cooperatives,True,6
model_params.yaml,n_farmers,population.n_farmers,True,500
model_params.yaml,n_providers,population.n_providers,True,12
model_params.yaml,name,population.counties.name,True,plain_high_service
model_params.yaml,new_centres_per_year,scenarios.instruments.P3.new_centres_per_year,True,30
model_params.yaml,non_power_outage_share,loss.non_power_outage_share,True,0.4
model_params.yaml,p_rewire,behaviour.peer_network.p_rewire,True,0.1
model_params.yaml,params,risk_attitude.farmer.params,True,
model_params.yaml,payout_lag_days,scenarios.instruments.P6.payout_lag_days,True,21
model_params.yaml,peer_network,behaviour.peer_network,True,
model_params.yaml,plain,risk_attitude.farmer.prior_loss_proxy.terrain_weight.plain,True,0.6
model_params.yaml,population,population,True,
model_params.yaml,premium_subsidy_rate,scenarios.instruments.P6.premium_subsidy_rate,True,0.7
model_params.yaml,prior_efficacy_mean,behaviour.belief_update.prior_efficacy_mean,True,0.2
model_params.yaml,prior_efficacy_sd,behaviour.belief_update.prior_efficacy_sd,True,0.12
model_params.yaml,prior_loss_experience,risk_attitude.farmer.covariates.prior_loss_experience,True,0.05
model_params.yaml,prior_loss_proxy,risk_attitude.farmer.prior_loss_proxy,True,
model_params.yaml,production,production,True,
model_params.yaml,provider,risk_attitude.provider,True,
model_params.yaml,quantise_step,contract.quantise_step,True,0.02
model_params.yaml,recent_severe_loss,risk_attitude.farmer.stress_shift.recent_severe_loss,True,0.06
model_params.yaml,remote_service_points,scenarios.instruments.P7.remote_service_points,True,30
model_params.yaml,repair_time_years,sd.stocks.infrastructure_reliability.repair_time_years,True,0.25
model_params.yaml,reserved_capacity_share,scenarios.instruments.P5.reserved_capacity_share,True,0.2
model_params.yaml,risk_attitude,risk_attitude,True,
model_params.yaml,risk_framing,behaviour.risk_framing,True,
model_params.yaml,scenarios,scenarios,True,
model_params.yaml,sd,sd,True,
model_params.yaml,seasons,meta.seasons,True,12
model_params.yaml,seasons_per_year,meta.seasons_per_year,True,2
model_params.yaml,seed,meta.seed,True,20260825
model_params.yaml,service_capacity,sd.stocks.service_capacity,True,
model_params.yaml,service_density,population.counties.service_density,True,1.0
model_params.yaml,severe_loss_threshold,risk_attitude.farmer.stress_shift.severe_loss_threshold,True,auto
model_params.yaml,severe_share,behaviour.risk_framing.severe_share,True,0.25
model_params.yaml,shirk_effort_multiplier,contract.verifiability.shirk_effort_multiplier,True,0.55
model_params.yaml,shock_damage,sd.stocks.infrastructure_reliability.shock_damage,True,0.25
model_params.yaml,skill_decay_rate,sd.stocks.capable_farmers.skill_decay_rate,True,0.2
model_params.yaml,slots_per_year,scenarios.instruments.P4.slots_per_year,True,6000
model_params.yaml,social_learning_weight,behaviour.social_learning_weight,True,0.3
model_params.yaml,softmax_temperature,behaviour.softmax_temperature,True,0.02
model_params.yaml,stage_vulnerability,loss.stage_vulnerability,True,
model_params.yaml,stocks,sd.stocks,True,
model_params.yaml,stress_cap,risk_attitude.farmer.stress_shift.stress_cap,True,0.18
model_params.yaml,stress_decay_per_season,risk_attitude.farmer.stress_shift.stress_decay_per_season,True,0.35
model_params.yaml,stress_shift,risk_attitude.farmer.stress_shift,True,
model_params.yaml,subsidy_rate,scenarios.instruments.P1.subsidy_rate,True,0.4
model_params.yaml,subsidy_salience,behaviour.frictions.subsidy_salience,True,0.35
model_params.yaml,support,risk_attitude.farmer.support,True,
model_params.yaml,switching_cost_floor,behaviour.frictions.switching_cost_floor,True,40.0
model_params.yaml,switching_cost_share,behaviour.frictions.switching_cost_share,True,0.25
model_params.yaml,tasselling,loss.stage_vulnerability.tasselling,True,1.0
model_params.yaml,terrain,population.counties.terrain,True,plain
model_params.yaml,terrain_weight,risk_attitude.farmer.prior_loss_proxy.terrain_weight,True,
model_params.yaml,training_throughput_per_year,sd.stocks.capable_farmers.training_throughput_per_year,True,3000
model_params.yaml,trust,behaviour.trust,True,
model_params.yaml,type,behaviour.peer_network.type,True,watts_strogatz
model_params.yaml,u_min_provider_base,contract.u_min_provider_base,True,0.28
model_params.yaml,u_min_scaling_with_demand,contract.u_min_scaling_with_demand,True,0.35
model_params.yaml,unit_capacity_mu_per_day,sd.stocks.service_capacity.unit_capacity_mu_per_day,True,300.0
model_params.yaml,utilisation_ceiling,sd.stocks.service_capacity.utilisation_ceiling,True,0.85
