parameter,module,direction,param_base,param_value,output,base,value,pct_change_out,elasticity
logit scale tau,behaviour,low,0.02,0.01,mean_income,8061.483789570764,8066.500602045456,0.062231874499106665,-0.0012446374899821333
logit scale tau,behaviour,high,0.02,0.04,adopt_any,0.14227777777777775,0.20522222222222222,44.24053104256153,0.44240531042561526
logit scale tau,behaviour,high,0.02,0.04,effort_T3,0.743096898378123,0.7155748708856531,-3.7036929574782573,-0.03703692957478257
logit scale tau,behaviour,high,0.02,0.04,effective_use_rate,0.1691666666666667,0.22566666666666668,33.39901477832512,0.33399014778325115
logit scale tau,behaviour,high,0.02,0.04,mitigation_rate,0.019081530743363915,0.024700253028847537,29.445867635318905,0.29445867635318906
logit scale tau,behaviour,high,0.02,0.04,mean_wait_days,14.923042921534568,20.485227384868438,37.272455038693266,0.37272455038693264
logit scale tau,behaviour,high,0.02,0.04,mean_income,8061.483789570764,8014.849860209727,-0.5784782377329598,-0.005784782377329599
social learning,behaviour,low,0.3,0.1,adopt_any,0.14227777777777775,0.13650000000000004,-4.0609137055837135,0.060913705583755695
social learning,behaviour,low,0.3,0.1,effort_T3,0.743096898378123,0.744828975829973,0.23308904338457315,-0.003496335650768597
social learning,behaviour,low,0.3,0.1,effective_use_rate,0.1691666666666667,0.16683333333333336,-1.3793103448275819,0.02068965517241373
social learning,behaviour,low,0.3,0.1,mitigation_rate,0.019081530743363915,0.018252531272095664,-4.344512410549432,0.06516768615824148
social learning,behaviour,low,0.3,0.1,mean_wait_days,14.923042921534568,12.912200317465533,-13.474749182469386,0.2021212377370408
social learning,behaviour,low,0.3,0.1,mean_income,8061.483789570764,8058.866075356673,-0.03247186600409667,0.00048707799006145007
social learning,behaviour,high,0.3,0.55,adopt_any,0.14227777777777775,0.14416666666666667,1.3276064037485522,0.015931276844982623
social learning,behaviour,high,0.3,0.55,effort_T3,0.743096898378123,0.7429271216686173,-0.022847183170356385,-0.0002741661980442765
social learning,behaviour,high,0.3,0.55,effective_use_rate,0.1691666666666667,0.17700000000000002,4.630541871921181,0.05556650246305415
social learning,behaviour,high,0.3,0.55,mitigation_rate,0.019081530743363915,0.01912741349826118,0.24045636335137147,0.002885476360216457
social learning,behaviour,high,0.3,0.55,mean_wait_days,14.923042921534568,15.178997850922835,1.7151658058887793,0.020581989670665348
social learning,behaviour,high,0.3,0.55,mean_income,8061.483789570764,8067.609587395472,0.07598846545635528,0.0009118615854762631
capacity coverage,sd,low,0.55,0.35,adopt_any,0.14227777777777775,0.07677777777777779,-46.036704412338906,1.2660093713393197
capacity coverage,sd,low,0.55,0.35,effort_T3,0.743096898378123,0.7469668199284821,0.5207828963901752,-0.014321529650729815
capacity coverage,sd,low,0.55,0.35,effective_use_rate,0.1691666666666667,0.08983333333333333,-46.896551724137936,1.289655172413793
capacity coverage,sd,low,0.55,0.35,mitigation_rate,0.019081530743363915,0.009721612524856505,-49.05223980399245,1.348936594609792
capacity coverage,sd,low,0.55,0.35,mean_wait_days,14.923042921534568,15.563053370314288,4.288739583105787,-0.11794033853540913
capacity coverage,sd,low,0.55,0.35,mean_income,8061.483789570764,8018.947390694487,-0.5276497476966617,0.014510368061658193
capacity coverage,sd,high,0.55,0.85,adopt_any,0.14227777777777775,0.1771111111111111,24.482623975009783,0.4488481062085128
capacity coverage,sd,high,0.55,0.85,effort_T3,0.743096898378123,0.7483594030123784,0.7081855200501131,0.012983401200918745
capacity coverage,sd,high,0.55,0.85,effective_use_rate,0.1691666666666667,0.2225,31.527093596059096,0.5779967159277503
capacity coverage,sd,high,0.55,0.85,mitigation_rate,0.019081530743363915,0.026429330978368387,38.50739405464027,0.7059688910017385
capacity coverage,sd,high,0.55,0.85,mean_wait_days,14.923042921534568,8.231428461173993,-44.84081762375889,-0.8220816564355798
capacity coverage,sd,high,0.55,0.85,mean_income,8061.483789570764,8098.064547754595,0.4537720243406768,0.008319153779579078
max mitigation,loss,low,0.65,0.45,adopt_any,0.14227777777777775,0.14227777777777775,0.0,-0.0
max mitigation,loss,low,0.65,0.45,effort_T3,0.743096898378123,0.743096898378123,0.0,-0.0
max mitigation,loss,low,0.65,0.45,effective_use_rate,0.1691666666666667,0.1691666666666667,0.0,-0.0
max mitigation,loss,low,0.65,0.45,mitigation_rate,0.019081530743363915,0.019044815562765043,-0.1924121345015308,0.00625339437129975
max mitigation,loss,low,0.65,0.45,mean_wait_days,14.923042921534568,14.923042921534568,0.0,-0.0
max mitigation,loss,low,0.65,0.45,mean_income,8061.483789570764,8061.482761472397,-1.2753215088236165e-05,4.1447949036767534e-07
max mitigation,loss,high,0.65,0.85,adopt_any,0.14227777777777775,0.14227777777777775,0.0,0.0
max mitigation,loss,high,0.65,0.85,effort_T3,0.743096898378123,0.743096898378123,0.0,0.0
